index,smiles,name,opsin_smiles,std_original,std_opsin
42,COc1ccc(C([S-])(C[P+](c2ccccc2)(c2ccccc2)C2CC2)c2ccc(OC)cc2)cc1,"2-((cyclopropyl)diphenylphosphanyl)-1,1-bis(4-methoxyphenyl)ethane-1-thiolate",C1(CC1)C1=C(C=CC=C1)P(CC([S-])(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C1=CC=CC=C1,COc1ccc(C([S-])(C[P+](c2ccccc2)(c2ccccc2)C2CC2)c2ccc(OC)cc2)cc1,COc1ccc(C(S)(CP(c2ccccc2)c2ccccc2C2CC2)c2ccc(OC)cc2)cc1
216,CCCCCOC(=O)CN1C(=O)[C@H]2C3c4ccccc4C(c4ccccc43)[C@@H]2C1=O,,,CCCCCOC(=O)Cn1c(O)c2c(c1O)C1c3ccccc3C2c2ccccc21,
343,CCS(=O)(=O)C12OC(C(F)(F)F)([C@@H]3C4C=CC(C4)[C@@H]31)[C@H]1C3C=CC(C3)[C@H]12,,,CCS(=O)(=O)C12OC(C(F)(F)F)([C@@H]3C4C=CC(C4)[C@@H]31)[C@H]1C3C=CC(C3)[C@H]12,
382,CC(CCC(=O)NC1(C(=O)O)CCCC1)C(=O)O,1-(2-methylpentanediamido)cyclopentanecarboxylic acid,,CC(CCC(=O)NC1(C(=O)O)CCCC1)C(=O)O,
421,C=C1C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,"(1R,3S)-5-((2E)-2-((1R,6R,7R)-7-((2R,3E,5R)-5,6-dimethylhept-3-en-2-yl)-6-methylbicyclo[4.3.0]nonan-2-ylidene)ethylidene)-4-methylidenecyclohexane-1,3-diol",C[C@@H](/C=C/[C@@H](C)[C@@H]1[C@]2(CCC/C(/[C@H]2CC1)=C\C=C1C([C@H](C[C@@H](C1)O)O)=C)C)C(C)C,C=C1C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,C=C1C(=C/C=C2\CCC[C@@]3(C)[C@@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C[C@@H](O)C[C@@H]1O
526,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC(C)=O)c4C3=O)C2C[C@@H]1/C(=C/OC)C(=O)OC,"methyl (2Z)-2-((3S,4S,7S)-3-ethyl-9'-oxo-7-azaspiro[1-azabicyclo[4.3.0]nonane-7,8'-bicyclo[4.3.0]nona-1(6),2,4-trien-2-yl acetate]-4-yl)-3-methoxyprop-2-enoate",,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC(C)=O)c4C3=O)C2C[C@@H]1/C(=C/OC)C(=O)OC,
599,CSC(=C\[N+](=O)[O-])/C(C#N)=C(\N)N1CCCC1,"(2E,3Z)-2-((amino)pyrrolidin-1-ylmethylidene)-3-(methylsulfanyl)-4-nitrobut-3-enenitrile",N/C(=C(/C#N)\C(=C\[N+](=O)[O-])\SC)/N1CCCC1,CSC(=C[N+](=O)[O-])C(C#N)C(=N)N1CCCC1,CS/C(=C\[N+](=O)[O-])C(C#N)C(=N)N1CCCC1
628,O=C(O)CNC(=O)c1cccc2c1C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,"2-(9-oxo-9'-oxaspiro[8-oxabicyclo[4.3.0]nona-1,3,5-triene-7,2'-tricyclo[8.4.0.0^{3,8}]tetradeca-1(10),3(8),4,6,11,13-hexaene-6,12-diol]-2-carboxamido)acetic acid",,O=C(O)CNC(=O)c1cccc2c1C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,
763,COc1cc(OC)c2c(c1Cl)O[C@@]1(C(=O)C=C(Nc3ccc(Cl)c([N+](=O)[O-])c3)C[C@H]1C)C2=O,"(8S)-5-chloro-2,4-dimethoxyspiro[7-oxabicyclo[4.3.0]nona-1,3,5-triene-8,1'-((1S,6R)-4-((4-chloro-3-nitrophenyl)amino)-6-methylcyclohex-3-ene)]-2'-one-9-one",,COc1cc(OC)c2c(c1Cl)O[C@@]1(C(=O)CC(=Nc3ccc(Cl)c([N+](=O)[O-])c3)C[C@H]1C)C2=O,
765,CCCc1[nH]nc2c1C1(C(=O)N(Cc3ccc(F)cc3)c3ccccc31)C(C(=O)OC)=C(N)O2,"methyl 3-amino-7-propyl-7'-((4-fluorophenyl)methyl)-7-azaspiro[2-oxa-8,9-diazabicyclo[4.3.0]nona-1(9),3,6-triene-5,9'-bicyclo[4.3.0]nona-1,3,5-triene]-8'-one-4-carboxylate",,CCCc1[nH]nc2c1C1(C(=O)N(Cc3ccc(F)cc3)c3ccccc31)C(C(=O)OC)C(=N)O2,
