index,smiles,name,opsin_smiles,std_original,std_opsin
11,C[C@H]1[C@H]2O[C@@H]3[C@@H]4[C@@H](CC4(C)C)[C@](C)(C(=O)[C@@H]2O)[C@@]31O,"(1R,2R,5R,6S,8R,9R,10R)-8,10-dihydroxy-3,3,6,9-tetramethyl-11-oxatetracyclo[7.2.1.02,5.06,10]dodecan-7-one",O[C@H]1C([C@@]2([C@@H]3CC([C@@H]3[C@@H]3O[C@@]2([C@@]1(C3)C)O)(C)C)C)=O,C[C@H]1C2O[C@@H]3[C@@H]4[C@@H](CC4(C)C)[C@](C)(C(=O)C2O)[C@@]31O,CC1(C)C[C@@H]2[C@H]1[C@H]1C[C@]3(C)C(=O)C(O)[C@@]2(C)[C@]3(O)O1
87,CC(=O)c1cccccc(C(=O)CN2CCc3ccccc3C2c2ccccc2)ccc1,"1-(6-acetylcyclodeca-1,3,5,7,9-pentaen-1-yl)-2-(1-phenyl-3,4-dihydro-1H-isoquinolin-2-yl)ethanone",C(C)(=O)C1=CC=CC=C(C=CC=C1)C(CN1C(C2=CC=CC=C2CC1)C1=CC=CC=C1)=O,CC(=O)c1cccccc(C(=O)CN2CCc3ccccc3C2c2ccccc2)ccc1,CC(=O)c1ccccc(C(=O)CN2CCc3ccccc3C2c2ccccc2)cccc1
163,O=C1c2ccccc2NC23OC12CN(Cc1ccccc1)C3c1ccc2c(c1)OCO2,"12-(1,3-benzodioxol-5-yl)-11-benzyl-13-oxa-2,11-diazatetracyclo[7.3.1.01,9.03,8]trideca-3,5,7-trien-8-one",,O=C1c2ccccc2NC23OC12CN(Cc1ccccc1)C3c1ccc2c(c1)OCO2,
259,CO[P@](=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(=O)O)[nH]c2ccc(Cl)cc12,5-chloro-3-[[3-[(E)-2-cyanoethenyl]-5-methylphenyl]-methoxyphosphoryl]-1H-indole-2-carboxylicacid,ClC=1C=C2C(=C(NC2=CC1)C(=O)O)P(=O)(OC)C1=CC(=CC(=C1)C)\C=C\C#N,CO[P@](=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(=O)O)[nH]c2ccc(Cl)cc12,COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(=O)O)[nH]c2ccc(Cl)cc12
332,COc1c(OC(C)=O)ccc2c1[C@H](O)[C@H]2OC,"[(7S,8S)-8-hydroxy-2,7-dimethoxy-3-bicyclo[4.2.0]octa-1(6),2,4-trienyl]acetate",O[C@@H]1[C@H](C=2C=CC(=C(C12)OC)CC(=O)[O-])OC,COc1c(OC(C)=O)ccc2c1[C@H](O)[C@H]2OC,COc1c(CC(=O)O)ccc2c1[C@H](O)[C@H]2OC
367,c1ccc2c(c1)CCc1ccccc1N2c1ccc(-n2c3ccccc3c3ccncc32)cc1,"11-(4-pyrido[3,4-b]indol-9-ylphenyl)-5,6-dihydrobenzo[b][1]benzazepine",C1=NC=CC2=C1N(C1=CC=CC=C21)C2=CC=C(C=C2)C=2C1=C(NC3C(C2)=CC=CC3)C=CC=C1,c1ccc2c(c1)CCc1ccccc1N2c1ccc(-n2c3ccccc3c3ccncc32)cc1,C1=CCC2Nc3ccccc3C(c3ccc(-n4c5ccccc5c5ccncc54)cc3)=CC2=C1
454,CCCCCCOC(=O)/C=C/C(=O)OCCCc1ccccc1,1-O-hexyl4-O-(3-phenylpropyl)(E)-but-2-enedioate,,CCCCCCOC(=O)/C=C/C(=O)OCCCc1ccccc1,
525,OCCCN(CCCO)C(=S)SSC(=S)N(CCCO)CCCO,"bis(3-hydroxypropyl)carbamothioylsulfanylN,N-bis(3-hydroxypropyl)carbamodithioate",OCCCN(C(=S)SS=C(N(CCCO)CCCO)[S-])CCCO,OCCCN(CCCO)C(=S)SSC(=S)N(CCCO)CCCO,OCCCN(CCCO)C(=S)S[SH2]C(=S)N(CCCO)CCCO
599,CSC(=C\[N+](=O)[O-])/C(C#N)=C(\N)N1CCCC1,"(Z,2E)-2-[amino(pyrrolidin-1-yl)methylidene]-3-methylsulfanyl-4-nitrobut-3-enenitrile",N/C(=C(/C#N)\C(=C\[N+](=O)[O-])\SC)/N1CCCC1,CSC(=C[N+](=O)[O-])C(C#N)C(=N)N1CCCC1,CS/C(=C\[N+](=O)[O-])C(C#N)C(=N)N1CCCC1
615,NS(=O)(=O)OC[C@H]1CC(Nc2ncncc2C(=O)c2cc(CN3CCC(F)(F)C3)cs2)=C[C@@H]1O,"[(1R,2S)-4-[[5-[4-[(3,3-difluoropyrrolidin-1-yl)methyl]thiophene-2-carbonyl]pyrimidin-4-yl]amino]-2-hydroxycyclopent-3-en-1-yl]methylsulfamate",FC1(CN(CC1)CC=1C=C(SC1)C(=O)C=1C(=NC=NC1)NC1=C[C@H]([C@H](C1)CNS([O-])(=O)=O)O)F,NS(=O)(=O)OC[C@H]1CC(=Nc2ncncc2C(=O)c2cc(CN3CCC(F)(F)C3)cs2)C[C@@H]1O,O=C(c1cc(CN2CCC(F)(F)C2)cs1)c1cncnc1N=C1C[C@H](CNS(=O)(=O)O)[C@H](O)C1
650,FC(F)(F)C(OOP(OOC(C(F)(F)F)C(F)(F)F)OOC(C(F)(F)F)C(F)(F)F)C(F)(F)F,"tris(1,1,1,3,3,3-hexafluoropropan-2-yloxy)phosphite",,FC(F)(F)C(OOP(OOC(C(F)(F)F)C(F)(F)F)OOC(C(F)(F)F)C(F)(F)F)C(F)(F)F,
694,CCCCn1c(=O)[nH]c(=O)c2c1nc(COC(=O)c1[nH]c(CC)c(C(=O)OC)c1C)n2CC,"2-O-[(3-butyl-7-ethyl-2,6-dioxopurin-8-yl)methyl]4-O-methyl5-ethyl-3-methyl-1H-pyrrole-2,4-dicarboxylate",,CCCCn1c(=O)[nH]c(=O)c2c1nc(COC(=O)c1[nH]c(CC)c(C(=O)OC)c1C)n2CC,
836,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@H]2CC(=O)O[C@@H]2[C@@H]2[C@H]1CC[C@H]2O,"(3aS,6S,6aR,9R,9aS,9bS)-6-[tert-butyl(dimethyl)silyl]oxy-9-hydroxy-3,3a,4,5,6,6a,7,8,9,9a,9b-dodecahydroazuleno[4,5-b]furan-2-one",,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@H]2CC(=O)O[C@@H]2[C@@H]2[C@H]1CC[C@H]2O,
839,C=CCO[C@@H]1CCN2C(=O)c3ccc(Cl)cc3NC(=O)[C@H]12,"(6aS,7R)-3-chloro-7-prop-2-enoxy-6a,7,8,9-tetrahydro-5H-pyrrolo[2,1-c][1,4]benzodiazepine-6,11-dione",,C=CCO[C@@H]1CCN2C(=O)c3ccc(Cl)cc3NC(=O)C12,
871,C[C@H]1ON=C2CO[Si](c3ccccc3)(c3ccccc3)O[C@H](C)[C@@H]21,"(3R,3aR,4R)-3,4-dimethyl-6,6-diphenyl-3,3a,4,8-tetrahydro-[1,3,2]dioxasilepino[5,6-c][1,2]oxazole",C[C@@H]1[C@H]2C(=NO1)CO[Si](O[C@@H]2C)(C2=CC=CC=C2)C2=CC=CC=C2,C[C@H]1ON=C2CO[Si](c3ccccc3)(c3ccccc3)O[C@H](C)[C@@H]21,C[C@H]1ON=C2CO[Si](c3ccccc3)(c3ccccc3)O[C@H](C)[C@H]21
