index,smiles,name,opsin_smiles,std_original,std_opsin
55,CC(C)(C(=O)NC[C@H]1[C@@H]2CN(C(=O)Cc3cnco3)C[C@H]12)c1ccncc1,"2-methyl-N-[[(1R,5S,6S)-3-[2-(1,3-oxazol-5-yl)acetyl]-3-azabicyclo[3.1.0]hexan-6-yl]methyl]-2-pyridin-4-ylpropanamide",,CC(C)(C(=O)NC[C@@H]1[C@H]2CN(C(=O)Cc3cnco3)C[C@@H]12)c1ccncc1,
63,CO[C@H]1CC[C@@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)NC[C@@]2(C)CCCS2)CC1,"(1S,4R)-4-methoxy-N-methyl-N-[(2S)-4-methyl-1-[[(2R)-2-methylthiolan-2-yl]methylamino]-1-oxopentan-2-yl]cyclohexane-1-carboxamide",,COC1CCC(C(=O)N(C)C(CC(C)C)C(=O)NC[C@@]2(C)CCCS2)CC1,
69,C[C@H]1C[C@@H](C)[C@@H]1C(=O)NC1(C)CCN(C(=O)c2coc(C(C)(C)C)n2)CC1,"(1S,2S,4R)-N-[1-(2-tert-butyl-1,3-oxazole-4-carbonyl)-4-methylpiperidin-4-yl]-2,4-dimethylcyclobutane-1-carboxamide",,C[C@@H]1C[C@H](C)C1C(=O)NC1(C)CCN(C(=O)c2coc(C(C)(C)C)n2)CC1,
80,CCC1(C(=O)N2C[C@H]3CN(C(=O)C[C@H](C)CC(C)(C)C)C[C@@]3(C)C2)CC1,"(3R)-1-[(3aR,6aR)-5-(1-ethylcyclopropanecarbonyl)-3a-methyl-3,4,6,6a-tetrahydro-1H-pyrrolo[3,4-c]pyrrol-2-yl]-3,5,5-trimethylhexan-1-one",C(C)C1(CC1)C(=O)N1C[C@@H]2[C@@](C1)(CN(C2)C(C[C@@H](CC(C)(C)C)C)=O)C,CCC1(C(=O)N2C[C@H]3CN(C(=O)C[C@H](C)CC(C)(C)C)C[C@@]3(C)C2)CC1,CCC1(C(=O)N2C[C@H]3CN(C(=O)C[C@H](C)CC(C)(C)C)C[C@]3(C)C2)CC1
87,CCc1nc2ccccc2c(C(=O)NC[C@@H](CO)CNC(=O)C=C(Cl)Cl)c1C,"N-[(2R)-2-[(3,3-dichloroprop-2-enoylamino)methyl]-3-hydroxypropyl]-2-ethyl-3-methylquinoline-4-carboxamide",ClC(=CC(=O)NC[C@H](CNC(=O)C1=C(C(=NC2=CC=CC=C12)CC)C)CO)Cl,CCc1nc2ccccc2c(C(=O)NC[C@@H](CO)CNC(=O)C=C(Cl)Cl)c1C,CCc1nc2ccccc2c(C(=O)NC[C@H](CO)CNC(=O)C=C(Cl)Cl)c1C
91,Cc1scc(C(=O)N2CC[C@](O)(CN(C)C(=O)[C@@H](C)CC3CCCC3)C2)c1C,"(2S)-3-cyclopentyl-N-[[(3R)-1-(4,5-dimethylthiophene-3-carbonyl)-3-hydroxypyrrolidin-3-yl]methyl]-N,2-dimethylpropanamide",C1(CCCC1)C[C@@H](C(=O)N(C)C[C@]1(CN(CC1)C(=O)C1=CSC(=C1C)C)O)C,Cc1scc(C(=O)N2CC[C@](O)(CN(C)C(=O)C(C)CC3CCCC3)C2)c1C,Cc1scc(C(=O)N2CC[C@@](O)(CN(C)C(=O)C(C)CC3CCCC3)C2)c1C
109,CN(CC1(C)CC1)C(=O)[C@H](CO)NC(=O)C[C@H]1C[C@@H]1C1CC1,"(2S)-2-[[2-[(1R,2S)-2-cyclopropylcyclopropyl]acetyl]amino]-3-hydroxy-N-methyl-N-[(1-methylcyclopropyl)methyl]propanamide",C1(CC1)[C@H]1[C@H](C1)CC(=O)N[C@H](C(=O)N(CC1(CC1)C)C)CO,CN(CC1(C)CC1)C(=O)C(CO)NC(=O)C[C@H]1C[C@@H]1C1CC1,CN(CC1(C)CC1)C(=O)C(CO)NC(=O)C[C@H]1C[C@H]1C1CC1
142,COc1cccc2c1[C@H](C(=O)N[C@H]1C[C@H](NC(=O)COCC3(F)CC3)C1)CC2,"(1R)-N-[(1R,3R)-3-[[2-[(1-fluorocyclopropyl)methoxy]acetyl]amino]cyclobutyl]-7-methoxy-2,3-dihydro-1H-indene-1-carboxamide",,COc1cccc2c1C(C(=O)N[C@H]1C[C@H](NC(=O)COCC3(F)CC3)C1)CC2,
152,CCO[C@H](CC)C(=O)NCCC[C@H]1CCCN1C(=O)c1ccc(CC)cc1OC,(2R)-2-ethoxy-N-[3-[(2R)-1-(4-ethyl-2-methoxybenzoyl)pyrrolidin-2-yl]propyl]butanamide,C(C)O[C@@H](C(=O)NCCC[C@H]1N(CCC1)C(C1=C(C=C(C=C1)CC)OC)=O)CC,CCOC(CC)C(=O)NCCC[C@H]1CCCN1C(=O)c1ccc(CC)cc1OC,CCOC(CC)C(=O)NCCC[C@@H]1CCCN1C(=O)c1ccc(CC)cc1OC
158,CC(=O)c1c(C)[nH]c(C(=O)N2C[C@@H](C)CN(C(=O)[C@H]3C[C@H](F)C3)C[C@@H]2C)c1C,"1-[5-[(2S,6S)-4-[(1S,3S)-3-fluorocyclobutanecarbonyl]-2,6-dimethyl-1,4-diazepane-1-carbonyl]-2,4-dimethyl-1H-pyrrol-3-yl]ethanone",,CC(=O)c1c(C)[nH]c(C(=O)N2C[C@@H](C)CN(C(=O)C3CC(F)C3)C[C@@H]2C)c1C,
